,supply_capacity
S1,58
S2,32
S3,6161
S4,4
S5,47
S6,178
S7,142
S8,164
S9,10011
S10,6
S11,7081
S12,948
S13,996
S14,209
S15,58
S16,106
S17,174
S18,79
S19,308
S20,2717
S21,90
S22,30
S23,198
S24,5
S25,70
S26,833
S27,112
S28,3024
S29,95
S30,76
S31,63
S32,46
S33,3240
S34,1277
S35,1504
S36,14
S37,1110
S38,251
S39,18
S40,50
S41,680
S42,95
S43,1023
S44,37873
S45,174
S46,103
S47,101
S48,88
S49,228
S50,103
S51,996
S52,247
S53,4
S54,858
S55,11
S56,551
S57,15
S58,643
S59,13
S60,774
S61,10804
S62,174
S63,2606
S64,3
S65,224
S66,20
S67,7745
S68,2056
S69,258
S70,220
S71,231
S72,76
S73,225
